
🇨🇳MVDJ欣赏,#genre#
DJ听闻远方有你,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0d00fg10000c8ec3kbc77u9jndq12fg&ratio=720p&line=0
DJ为什么你变了,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0d00fg10000c8rr2kjc77uc3agsl420&ratio=720p&line=0#https://vd3.bdstatic.com/mda-me9yjqfgc3m38756/480p/h264/1620687759905790535/mda-me9yjqfgc3m38756.mp4?pd=19&vt=1#https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c63odj3c77u9v9trvhb0&ratio=720p&line=0#https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c86cstjc77u9d6lbmm7g&ratio=720p&line=0
DJ为什么你变了,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c7jb843c77u6u18mv2n0&ratio=720p&line=0
DJ听心,https://vd3.bdstatic.com/mda-kc0dk6stpqecvg61/hd/mda-kc0dk6stpqecvg61.mp4?pd=19&vt=1&playlist=%5B%22hd%22%5D
DJ多余的温柔,https://vd3.bdstatic.com/mda-kinf81mw0d8izmda/hd/mda-kinf81mw0d8izmda.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D#https://vdse.bdstatic.com//fdde95e97bce4a7b7a3a207900bb78d5.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-03-11T09%3A36%3A57Z%2F-1%2Fhost%2F80c254de5dda61d569e474098bd321397cdf803cb38ef38d5fc0c9c80abe38fb
DJ受了伤的狼,https://vd3.bdstatic.com/mda-kfg77ggwy82ybyp5/hd/mda-kfg77ggwy82ybyp5.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ深情败给时间,https://vd3.bdstatic.com/mda-mmd2x0g6vnc8wtbq/hd/cae_h264/1639496323239075932/mda-mmd2x0g6vnc8wtbq.mp4?pd=19&vt=1
DJ听心,https://vd3.bdstatic.com/mda-ijgqy3fbcvspf0kg/hd/mda-ijgqy3fbcvspf0kg.mp4?pd=19&vt=1
人在旅途,https://vd3.bdstatic.com/mda-kgmst61cw8fd4k3d/hd/mda-kgmst61cw8fd4k3d.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D
DJ为爱付出,https://vd3.bdstatic.com/mda-meh3mejd2e40mgju/hd/cae_h264/1621306235487173641/mda-meh3mejd2e40mgju.mp4?pd=19&vt=1#https://vdse.bdstatic.com//9d01fd417717afd786b3d46d21d6d775.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-02-27T16%3A46%3A34Z%2F-1%2Fhost%2F6608b58a88ee310ffd1cd85db4b54cc373703bb2551f2efaa99fd429dfd13503
DJ受了伤的狼,https://vd3.bdstatic.com/mda-kfg77ggwy82ybyp5/hd/mda-kfg77ggwy82ybyp5.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
谢谢你的爱,https://vd3.bdstatic.com/mda-ncdbkb0d81bruxfr/hd/cae_h264_delogo/1647250677681905913/mda-ncdbkb0d81bruxfr.mp4?pd=19&vt=1
DJ九妹,https://vd3.bdstatic.com/mda-mku5f44i0zkffeqe/hd/cae_h264/1638161709359030645/mda-mku5f44i0zkffeqe.mp4?pd=19&vt=1
DJ玩腻舞曲,https://vd3.bdstatic.com/mda-mkq3jm8rkyybqnjp/hd/cae_h264_delogo/1642576655441966379/mda-mkq3jm8rkyybqnjp.mp4?pd=19&vt=1
天使的翅膀,https://vd3.bdstatic.com/mda-kfhcxxwyj241w6eb/v1-cae/hd/mda-kfhcxxwyj241w6eb.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ如果爱换在,https://vd3.bdstatic.com/mda-mme34wxh614qchfi/hd/bd265_cae_delogo/1642416520372601907/mda-mme34wxh614qchfi.mp4
DJ偷偷的哭版,https://vd3.bdstatic.com/mda-kmjpn9aq1bb86vfs/hd/mda-kmjpn9aq1bb86vfs.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D#https://vd3.bdstatic.com/mda-kjuvbq69hjz16pf9/hd/mda-kjuvbq69hjz16pf9.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%z
DJ情火,https://vdse.bdstatic.com//0f41e9ef3dd61369c9b8b3a0646f3aef.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-03-05T19%3A25%3A53Z%2F-1%2Fhost%2F5404be555ba4aaed283408199dc25a32a905ac07d9f6245ff33ec50388872a78
DJ渴望串烧,https://vd3.bdstatic.com/mda-mkmhuih1w2cmza3u/480p/h264/1637585190624896109/mda-mkmhuih1w2cmza3u.mp4?pd=19&vt=1
DJ勾魂舞,https://vd3.bdstatic.com/mda-mm7ibf2et9g7nb08/360p/h264_delogo/1645684284585525323/mda-mm7ibf2et9g7nb08.mp4?pd=19&vt=1
DJ高原红,https://vd3.bdstatic.com/mda-kkp3yhp6q6gs0gg8/hd/mda-kkp3yhp6q6gs0gg8.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ卓玛,https://vd3.bdstatic.com/mda-kfne7t6v3mitaqam/hd/mda-kfne7t6v3mitaqam.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%2C%221080p%22%5D
DJ向往神鹰,https://vd3.bdstatic.com/mda-kinxg6sqtfyscggx/hd/mda-kinxg6sqtfyscggx.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ南泥湾,https://vd3.bdstatic.com/mda-mih5n07207rpqutg/480p/h264/1631937916148357182/mda-mih5n07207rpqutg.mp4?pd=19&vt=1
DJ陪你到老的人,https://vd3.bdstatic.com/mda-metd17nsietm9di8/hd/cae_h264/1622195092396917015/mda-metd17nsietm9di8.mp4?pd=19&vt=1
不过人间,https://vd3.bdstatic.com/mda-kmezi31b77qxucw4/v2-hknm/hd/mda-kmezi31b77qxucw4.mp4?pd=19&vt=1&playlist=%5B%221080p%22%2C%22hd%22%2C%22sc%22%5D
红尘情歌,https://vd3.bdstatic.com/mda-mkieb6eegteybz6p/hd/cae_h264/1637319952690673831/mda-mkieb6eegteybz6p.mp4?pd=19&vt=1
多想做你最爱的人,https://vd3.bdstatic.com/mda-mai213gnt546gaiw/v1-cae/hd/mda-mai213gnt546gaiw.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%2C%221080p%22%5D

DJ别知己,https://vd3.bdstatic.com/mda-kdjw89dev01ajnqm/hd/mda-kdjw89dev01ajnqm.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ如果爱换在,https://vd3.bdstatic.com/mda-mme34wxh614qchfi/hd/bd265_cae_delogo/1642416520372601907/mda-mme34wxh614qchfi.mp4
DJ偷偷的哭,https://vd3.bdstatic.com/mda-kjuvbq69hjz16pf9/hd/mda-kjuvbq69hjz16pf9.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ又见山里红,https://vd3.bdstatic.com/mda-imdhkmpgabv6vr46/hd/mda-imdhkmpgabv6vr46.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%2C%221080p%22%5D
DJ星星点灯,https://vdse.bdstatic.com//352a13ad07cbf14aea8f204a9c9b9a5c.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-18T16%3A09%3A20Z%2F-1%2Fhost%2Fcef69bbbf7601fd9fbe494bf0a864ac84236f631f500238195135dbf20756d4e
DJ孟婆的碗,https://vdse.bdstatic.com//553b2c58bc07b8b9ec746c0ac38ecaac.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-19T03%3A37%3A52Z%2F-1%2Fhost%2F736111191f05ec406af7580d2ea5d06af063f9ead5254d9515983599d8ef5825
DJ串烧3,https://vd3.bdstatic.com/mda-mm33ymphz0aefpv9/480p/h264/1638586177980909506/mda-mm33ymphz0aefpv9.mp4?pd=19&vt=1
DJ英雄泪,https://vdse.bdstatic.com//1e255760ab5787c1fe1e98c44f2866a3.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-03-06T10%3A59%3A41Z%2F-1%2Fhost%2F328c5d09e400879e87cefe3faccc7f6c1890d03cf6638dfb4e5c8e19903ae2db
DJ来生缘,https://vd3.bdstatic.com/mda-kmj7ryss2fpt24dv/mda-kmj7ryss2fpt24dv.mp4?pd=19&vt=1
DJ火火的爱,https://vd3.bdstatic.com/mda-jhqc3dqepmk9gb73/hd/mda-jhqc3dqepmk9gb73.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ你在他乡还好吗,https://vdse.bdstatic.com//ad257d2d7e535d23b6acc34e6b82c0b3.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-18T08%3A36%3A21Z%2F-1%2Fhost%2Ff4965b2855b0a69c37ce113f715aac34cabed15eb46d5061df82913f4509cf0b
DJ受了伤的狼男,https://vd3.bdstatic.com/mda-ki2tx2ink1wtkbz9/hd/mda-ki2tx2ink1wtkbz9.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ鲁冰花,https://vd3.bdstatic.com/mda-kmni4neq5qfx2nqh/mda-kmni4neq5qfx2nqh.mp4?pd=19&vt=1
DJ我的中国心,https://vd3.bdstatic.com/mda-km1j9whifne12897/hd/mda-km1j9whifne12897.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
孟婆的碗,https://vdse.bdstatic.com//553b2c58bc07b8b9ec746c0ac38ecaac.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-19T03%3A37%3A52Z%2F-1%2Fhost%2F736111191f05ec406af7580d2ea5d06af063f9ead5254d9515983599d8ef5825
DJ三月里的小雨,https://vd3.bdstatic.com/mda-mbierxgdqsx65x1b/hd/mda-mbierxgdqsx65x1b.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ小芳,https://vd3.bdstatic.com/mda-mbt9d645y4sqr2vp/hd/mda-mbt9d645y4sqr2vp.mp4?pd=19&vt=1
DJ可可托海的牧羊人,https://vdse.bdstatic.com//1ad6264a72749b81ac0927fbf862709a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-18T08%3A36%3A55Z%2F-1%2Fhost%2Fb9001ba27b210cd0fe165b8224262c9930ac401c09290180cddf4a92fee8f8cb
DJ相思的债,https://vd3.bdstatic.com/mda-kh9y33ji1zfpqy13/mda-kh9y33ji1zfpqy13.mp4?pd=19&vt=1
千纸鹤,https://vd3.bdstatic.com/mda-kj1ddycwcj5ei4c1/hd/mda-kj1ddycwcj5ei4c1.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D
听闻远方有你男版,https://vdse.bdstatic.com//31efb3c97511eac86f9cd1ef20a0020e.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-16T19%3A10%3A27Z%2F-1%2Fhost%2F9edd396085d30900fe8e55335b917236d91e935045a9a9bf0fe588579aaeb5d9
九百九十九朵玫瑰,https://vd3.bdstatic.com/mda-kcui7hzzt35dvxzs/v1-cae/hd/mda-kcui7hzzt35dvxzs.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
女儿情DJ,https://vdse.bdstatic.com//597b116a8eda2d052af588b533273db6.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-18T22%3A33%3A27Z%2F-1%2Fhost%2F3bf30a3e837e11b2404b72520745d33969c18de7a7ab362cdd181ba8d5d4b5e2
DJ铁血丹心,https://vd3.bdstatic.com/mda-mb7fh0uex0m77dce/hd/cae_h264_nowatermark/1612753285/mda-mb7fh0uex0m77dce.mp4?pd=19&vt=1
DJ点歌的人,https://vd3.bdstatic.com/mda-kmnxv2pwxhvvi7y5/v1-cae/hd/mda-kmnxv2pwxhvvi7y5.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%221080p%22%2C%22hd%22%5D
DJ你的万水千山,https://vd3.bdstatic.com/mda-kk7b3kev1stm0ugw/hd/mda-kk7b3kev1stm0ugw.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
DJ想着你亲爱的,https://vd3.bdstatic.com/mda-kiuuc4fd83m09040/mda-kiuuc4fd83m09040.mp4?pd=19&vt=1
DJ下定决心忘记你,https://vd3.bdstatic.com/mda-kjtgasw8573wyfqr/mda-kjtgasw8573wyfqr.mp4?pd=19&vt=1
DJ站台,https://vdse.bdstatic.com//84a14f0b716460d29504551aa66dfb11.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-17T19%3A20%3A31Z%2F-1%2Fhost%2F91a5238a333dc54272ddf16f7dd1ae3d761cb21f1136a78f27705c5dc4f91339
DJ歌曲mv连唱,https://vdse.bdstatic.com//6f339a68ad454b3eeb0d88af644d5779.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-17T00%3A10%3A58Z%2F-1%2Fhost%2F666958d3512addd0b4644c16fb89db5f9904637240f2b1beb92353cd7b3d663c
啊爸啊妈,https://vd4.bdstatic.com/mda-mm06d3dmmqsvyjyy/hd/cae_h264/1638354326037576379/mda-mm06d3dmmqsvyjyy.mp4?auth_key=1642571845-0-0-9256ddf0fb55ac0b86cd3ed4d5ecb4c9&bcevod_channel=searchbox_feed&pd=1&pt=3&logid=1645273996&vid=7713915132808114142&abtest=all
你不再属于我,https://vd3.bdstatic.com/mda-jc0y73wq9cuki609/hd/mda-jc0y73wq9cuki609.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
流浪兄弟,https://vd3.bdstatic.com/mda-jm3ugvdw5v9p6vff/hd/mda-jm3ugvdw5v9p6vff.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
听闻远方有你,https://vd3.bdstatic.com/mda-mk9e7n65y9ffvff0/hd/cae_h264/1636542405646681306/mda-mk9e7n65y9ffvff0.mp4?pd=19&vt=1
流浪兄弟DJ,https://vd3.bdstatic.com/mda-mmbfm4ijq45wchti/480p/h264/1639306949083781728/mda-mmbfm4ijq45wchti.mp4?pd=19&vt=1
泪蛋蛋掉在酒杯杯里DJ,https://vdse.bdstatic.com//ad16f84f841d0031eff7cbcc9546ddfd.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2021-01-14T09%3A58%3A31Z%2F-1%2Fhost%2F96408deb75e00f427f44d9226c1dc899b39f76d7575b9a66a4a7b92c5c0388a3
人生路,https://vd3.bdstatic.com/mda-mgpccnp56sss2kiq/hd/cae_h264/1627116925364940095/mda-mgpccnp56sss2kiq.mp4?pd=19&vt=1
红唇,https://vdse.bdstatic.com//2c9bf201a41b2ce99e5846cb2a455fd1.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-15T07%3A08%3A45Z%2F-1%2Fhost%2F3b264f06390ae76ef509f21efb2547030184e07ae09f0c5591385eed6a94d1ad
一路向北,https://vd3.bdstatic.com/mda-mgsaq7ststcbwxgq/hd/cae_h264/1627372037276813102/mda-mgsaq7ststcbwxgq.mp4?pd=19&vt=1
阿爸阿妈,https://vd3.bdstatic.com/mda-khup11jnkx4up509/hd/mda-khup11jnkx4up509.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
可可托海牧羊人,https://baikevideo.cdn.bcebos.com/media/mda-OfvUngc0fVwWQ4bv/103c1be3d0d74c55ece83a8ff7fecd3f.mp4
歌曲MV望爱却步,https://vd2.bdstatic.com/mda-kaqvuw6a6v1a9iz3/hd/mda-kaqvuw6a6v1a9iz3.mp4?auth_key=1602564548-0-0-8269bf86162892c571dae5ea0ebba99d&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=all


多年以后,https://vd3.bdstatic.com/mda-jjmpkyg24vshp9gw/hd/mda-jjmpkyg24vshp9gw.mp4?pd=20&vt=1
酒后更想你,https://vd3.bdstatic.com/mda-jd3qndfznwsn3534/hd/mda-jd3qndfznwsn3534.mp4?pd=20
山谷里的思念,https://vd3.bdstatic.com/mda-jgjrc7bbtsfsm87c/hd/mda-jgjrc7bbtsfsm87c.mp4?pd=20&vt=1
送亲,https://vd3.bdstatic.com/mda-kdrc8bnew4wn1mc7/hd/mda-kdrc8bnew4wn1mc7.mp4?pd=20&vt=1
一路向北女,https://vd3.bdstatic.com/mda-je0wsdji6zggwdpk/hd/mda-je0wsdji6zggwdpk.mp4?pd=20&vt=1
站着等你三千年,https://vd3.bdstatic.com/mda-kd9da736gij3x9gn/v1-cae/hd/mda-kd9da736gij3x9gn.mp4?pd=20
你的眼角流着我的泪,https://vd3.bdstatic.com/mda-jjvuaezd3e9csjr4/hd/mda-jjvuaezd3e9csjr4.mp4?pd=20&vt=1
一路向北男,https://vd3.bdstatic.com/mda-jkvhvg4a5mhmn1sn/mda-jkvhvg4a5mhmn1sn.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D&pd=20&vt=1
醉相思,https://vdse.bdstatic.com//ae2ecc7b9a9e3601409a98867234a7ee.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-05-29T13%3A18%3A39Z%2F-1%2Fhost%2F1d2e26e413429ccf4b652dd35aeb93fbea76a8a706d6325f05cf20b88d52dcf0
思念天边的你,https://vd3.bdstatic.com/mda-jm650vgvy10zuwe3/mda-jm650vgvy10zuwe3.mp4?pd=20&vt=1
送亲,https://vd3.bdstatic.com/mda-jjpgdde78dkmvyqc/hd/mda-jjpgdde78dkmvyqc.mp4?pd=20&vt=1
我爱你胜过你爱我,http://vdown.kuwo.cn:80/resource/t1/35/b9d819288a2f4572883763a6ee31a4d1.mp4
枉凝眉,https://vd3.bdstatic.com/mda-kdqz9dgaqs7jviyq/hd/mda-kdqz9dgaqs7jviyq.mp4?auth_key=1601532821-0-0-f638f31de1b2c319b5732539a46c1252&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=all
没你陪伴我真的好孤单,http://vdown1.kuwo.cn/resource/t1/38/adf18fa304c34be99394f1a8ded0e878.mp4
邂逅陈瑞,http://vdown.kuwo.cn/resource/t1/39/39250e1d4d0c45118940a85ee722a2a7.mp4
现场相思的债,http://vdown.kuwo.cn/resource/t1/39/39250e1d4d0c45118940a85ee722a2a7.mp4
点歌的人,http://videosc.kuwo.cn/arZrEin_TbFOm8AGKCPz6B1QJKE=/lktS1N3Rkhci_045THZaD9nuE3WT
万恩千爱,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_67462928&response=res&format=mp4|mkv&type=convert_url
舞曲望爱却步,https://vd2.bdstatic.com/mda-kjcc6puyt0y3b16t/v1-cae/hd/mda-kjcc6puyt0y3b16t.mp4?auth_key=1602564828-0-0-919d15fcd02515f70473247a88af2da5&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=all
舞曲酒醉的蝴蝶,https://vd3.bdstatic.com/mda-kdq1s7je2vx37i7b/v1-cae/hd/mda-kdq1s7je2vx37i7b.mp4?auth_key=1602565445-0-0-afb5ef39d86b13ae21b9cdc7f8729b56&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=all
听心,https://vd2.bdstatic.com/mda-kgtnkhjx5yd0ybpj/hd/mda-kgtnkhjx5yd0ybpj.mp4?auth_key=1602566216-0-0-ff1324cf6383d659f982a63cbc18f0216&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=all
青青河边草DJ,https://vd3.bdstatic.com/mda-mdnxcixsnza2cqj6/480p/h264/1619215862/mda-mdnxcixsnza2cqj6.mp4?pd=19&vt=1
茶山情歌DJ,https://vd3.bdstatic.com/mda-kih0mpapybd4im77/hd/mda-kih0mpapybd4im77.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D
求佛DJ,https://vd3.bdstatic.com/mda-kjequi04ixinpunx/hd/mda-kjequi04ixinpunx.mp4?pd=19&vt=1&playlist=%5B%22hd%22%5D
月下情缘DJ,https://vd3.bdstatic.com/mda-jhikh1mhi3szbbrp/hd/mda-jhikh1mhi3szbbrp.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
拥抱你离去DJ,https://vd3.bdstatic.com/mda-ki7twtbiuxk4evfp/hd/mda-ki7twtbiuxk4evfp.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
下辈子不做女人 (DJ版,https://vd3.bdstatic.com/mda-kmng6mwv9nkah0dk/hd/mda-kmng6mwv9nkah0dk.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
得到你的人却得不到你的心,https://vd3.bdstatic.com/mda-mgt1gwqw0pyxttwm/hd/cae_h264/1627459420531742936/mda-mgt1gwqw0pyxttwm.mp4?pd=19&vt=1

DJ相思的债,https://vd3.bdstatic.com/mda-ki3xxn4n8r9r32v7/hd/mda-ki3xxn4n8r9r32v7.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D
DJ三月里的小雨,https://vd2.bdstatic.com/mda-kf3rjbw4irbx1vqg/v1-cae/hd/mda-kf3rjbw4irbx1vqg.mp4?auth_key=1642681379-0-0-d681adb6a91409b4a729c001692746d4&bcevod_channel=searchbox_feed&pd=1&pt=3&logid=3179042815&vid=13433172388874046863&abtest=all
叹这一生,https://vd3.bdstatic.com/mda-mgq98f2tpuv8qjbd/hd/cae_h264/1627195392132503348/mda-mgq98f2tpuv8qjbd.mp4?pd=19&vt=1
让泪化作相思雨,https://vdse.bdstatic.com//37a57703f281130aa2a53d11db0ce0b9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-18T12%3A23%3A41Z%2F-1%2Fhost%2Fc96e11b6c795f67ddaa1715b87cb82015617a8a06f807a5b43f6ef1d6c345c44
等你等了那么久,https://vd3.bdstatic.com/mda-md8fyx884ys88k9q/hd/cae_h264/1617939295/mda-md8fyx884ys88k9q.mp4?pd=19&vt=1
遇上你是我的缘,https://vd3.bdstatic.com/mda-jmqi19pvavxyuh5r/hd/mda-jmqi19pvavxyuh5r.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D
一曲红尘,https://vd2.bdstatic.com/mda-jc2tbj5ckmnbxnbg/hd/mda-jc2tbj5ckmnbxnbg.mp4
心雨,https://vd3.bdstatic.com/mda-jj2ugw6cf5ysz3ya/sc/bd265_cae/1638353508140719049/mda-jj2ugw6cf5ysz3ya.mp4
致曾经,https://kq.bgp.68tool.com/video/m3u8/2022/01/29/814cbc12/playlist.m3u8
只为一个缘,https://vdse.bdstatic.com//8278bf3dee14da6cf87107a943574a0d.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-02-10T22%3A21%3A47Z%2F-1%2Fhost%2Ffedec7b60b0f56d767c51825379b8cd5262b665b7351d3d84322b668e89fb0d8)
🇨🇳央卫电视,#genre#
CCTV-1,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-3,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-4,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV-5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV-7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
